time_ms,CH1_raw,CH4_raw,Diff_C1_C4,Temp_C
340285,9652,9560,92.00,23751
340309,9773,9789,-16.00,23751
340333,9452,9488,-36.00,23735
340357,9707,9838,-131.00,23735
340381,9371,9395,-24.00,23750
340405,9668,9715,-47.00,23721
340429,9882,9658,224.00,23735
340453,9674,9449,225.00,23751
340477,9914,9759,155.00,23751
340501,9782,9341,441.00,23752
340525,9522,9444,78.00,23751
340549,10140,9614,526.00,23750
340573,9662,9384,278.00,23751
340597,9820,9726,94.00,23750
340621,9810,9506,304.00,23751
340645,9675,9601,74.00,23751
340669,10002,9485,517.00,23750
340693,9713,9361,352.00,23750
340717,9678,9649,29.00,23751
340741,9764,9395,369.00,23750
340765,9648,9584,64.00,23750
340789,9972,9469,503.00,23763
340813,9538,9319,219.00,23723
340837,9814,9702,112.00,23751
340861,9616,9427,189.00,23751
340885,9662,9594,68.00,23750
340909,9937,9568,369.00,23751
340933,9551,9375,176.00,23751
340957,9946,9754,192.00,23751
340981,9651,9440,211.00,23751
341005,9673,9472,201.00,23751
341029,9814,9392,422.00,23751
341053,9708,9315,393.00,23751
341077,9854,9775,79.00,23751
341101,9760,9375,385.00,23752
341126,9501,9745,-244.00,24324
341151,9696,9231,465.00,23707
341175,9397,9524,-127.00,23751
341199,9908,9479,429.00,23767
341223,9510,9381,129.00,23709
341247,9733,9512,221.00,23751
341271,9598,9290,308.00,23751
341295,9538,9268,270.00,23750
341319,9602,9541,61.00,23751
341343,9594,9171,423.00,23751
341367,9690,9491,199.00,23751
341391,9717,9281,436.00,23751
341415,9688,9410,278.00,23752
341439,9448,9628,-180.00,23750
341463,9495,9293,202.00,23735
341487,9472,9597,-125.00,23751
341511,9789,9267,522.00,23736
341535,9496,9587,-91.00,23751
341559,9732,9512,220.00,23734
341583,9494,9292,202.00,23750
341607,9620,9799,-179.00,23752
341631,9721,9313,408.00,23735
341655,9581,9810,-229.00,23750
341679,9692,9535,157.00,23735
341703,9481,9335,146.00,23751
341727,9783,9515,268.00,23751
341751,9829,9373,456.00,23751
341775,9552,9629,-77.00,23751
341799,9864,9778,86.00,23735
341823,9549,9250,299.00,23751
341847,9692,9755,-63.00,23751
341871,9883,9311,572.00,23735
341895,9405,9546,-141.00,23751
341919,9613,9740,-127.00,23735
341943,9453,9282,171.00,23735
341967,9490,9584,-94.00,23751
341991,9750,9372,378.00,23735
342015,9522,9474,48.00,23751
342039,9737,9685,52.00,23751
342063,9578,9303,275.00,23751
342087,9612,9802,-190.00,23751
342111,9790,9272,518.00,23736
342136,9787,9574,213.00,24330
342161,9509,9434,75.00,23721
342185,9767,9535,232.00,23750
342209,9954,9524,430.00,23751
342233,9591,9369,222.00,23751
342257,9690,9853,-163.00,23751
342281,9413,9445,-32.00,23735
342305,9599,9473,126.00,23735
342329,9855,9636,219.00,23751
342353,9671,9325,346.00,23751
342377,9875,9866,9.00,23751
342401,9898,9404,494.00,23751
342425,9559,9586,-27.00,23751
342449,9618,9327,291.00,23735
342473,9782,9417,365.00,23751
342497,9699,9823,-124.00,23752
342521,9464,9428,36.00,23735
342545,9676,9415,261.00,23759
342569,9575,9503,72.00,23730
342593,9627,9394,233.00,23751
342617,9814,9490,324.00,23752
342641,9918,9507,411.00,23751
342665,9551,9657,-106.00,23750
342689,9905,9551,354.00,23735
342713,9543,9473,70.00,23751
342737,9773,9899,-126.00,23751
